disease,category,severity,specialist,description,causes,risk_factors,prevention,recovery_time,emergency_signs,contagious,self_care,diet,aliases
(vertigo) Paroxymal Positional Vertigo,Neurological,High,Neurologist,(vertigo) Paroxymal Positional Vertigo is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","(vertigo) paroxymal positional vertigo, (vertigo)-paroxymal-positional-vertigo"
AIDS,Infectious Diseases,High,Infectious Disease Specialist,AIDS is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","aids, aids"
Acne,Skin & Dermatology,Moderate,Dermatologist,Acne is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","acne, acne"
Acute Bronchitis,Respiratory,High,Pulmonologist / Chest Specialist,Acute Bronchitis is a medical condition affecting the respiratory system requiring proper evaluation and treatment by a Pulmonologist / Chest Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Pulmonologist / Chest Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","acute bronchitis, acute-bronchitis"
Addison Disease,Endocrinology,Moderate,Endocrinologist,Addison Disease is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","addison disease, addison-disease"
Alcoholic hepatitis,Gastroenterology,Moderate,Gastroenterologist,Alcoholic hepatitis is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","alcoholic hepatitis, alcoholic-hepatitis"
Allergic Rhinitis,General Medicine,Moderate,General Physician,Allergic Rhinitis is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","allergic rhinitis, allergic-rhinitis"
Allergy,Immunology & Allergy,Low to Moderate,Allergist / Immunologist,"An exaggerated immune response to normally harmless substances (allergens) causing sneezing, itching, rash, or in severe cases, anaphylaxis.","Immune system overreaction to allergens: pollen, dust mites, pet dander, certain foods, insect stings, medications.","Family history of allergies/asthma, childhood, existing allergic conditions, environmental exposures.","Identify and avoid known allergens, use air purifiers, keep windows closed during high pollen, shower after outdoor exposure.",Symptoms resolve within hours to days after allergen removal. Chronic allergies need ongoing management.,"Anaphylaxis: difficulty breathing, throat swelling, rapid pulse, dizziness, loss of consciousness — USE EPINEPHRINE AND CALL EMERGENCY.",No,"Yes for mild symptoms — antihistamines, nasal sprays, avoid allergens. Severe allergies need allergist evaluation and may need immunotherapy.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","allergy, allergy"
Alzheimer Disease,Neurological,High,Neurologist / Geriatric Psychiatrist,"A progressive neurodegenerative disease causing memory loss, cognitive decline, and behavioral changes. The most common form of dementia.","Abnormal protein deposits (amyloid plaques and tau tangles) in the brain causing neuron death. Complex interaction of genetics, lifestyle, and environment.","Age >65, family history, APOE4 gene, Down syndrome, head trauma, cardiovascular risk factors, social isolation.","Regular physical and mental exercise, social engagement, heart-healthy diet, manage cardiovascular risk factors, adequate sleep.",Chronic progressive condition — no cure. Disease progression spans 4-20 years.,"Sudden confusion or agitation, wandering/getting lost, falls, inability to eat/drink, signs of infection (fever in elderly).",No,"No — requires medical management, caregiver support, and safety planning. Medications may slow progression.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","alzheimer disease, alzheimer-disease"
Anemia,Hematology,Low to Moderate,Hematologist / Internal Medicine,"A condition where the blood lacks enough healthy red blood cells or hemoglobin, reducing oxygen delivery to tissues. Causes fatigue, pallor, and weakness.","Iron deficiency (most common), vitamin B12/folate deficiency, chronic disease, blood loss, bone marrow disorders, hemolysis.","Women of childbearing age, pregnancy, poor diet, chronic diseases, GI conditions, heavy menstrual periods, family history.","Iron-rich diet (red meat, spinach, lentils), vitamin C with iron foods, prenatal vitamins during pregnancy, regular health check-ups.","Iron-deficiency: hemoglobin improves in 2-4 weeks, iron stores replete in 3-6 months. Other types vary.","Severe shortness of breath, chest pain, rapid heartbeat, fainting, hemoglobin <7 g/dL, acute blood loss.",No,"Partial — dietary improvement, iron/vitamin supplements (after blood tests). Underlying cause must be identified and treated.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","anemia, anemia"
Angina,Cardiovascular,Critical,Cardiologist,Angina is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","angina, angina"
Ankylosing Spondylitis,Rheumatology & Autoimmune,High,Rheumatologist,Ankylosing Spondylitis is a medical condition affecting the rheumatology & autoimmune system requiring proper evaluation and treatment by a Rheumatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Rheumatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","ankylosing spondylitis, ankylosing-spondylitis"
Aortic Aneurysm,Cardiovascular,Critical,Cardiologist,Aortic Aneurysm is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","aortic aneurysm, aortic-aneurysm"
Appendicitis,Gastroenterology,High,General Surgeon,Inflammation of the appendix causing severe right lower abdominal pain. Requires urgent surgical treatment to prevent rupture.,"Blockage of the appendix opening by fecal matter, foreign body, infection, or lymphoid tissue swelling.","Age 10-30, family history, male sex, low-fiber diet.",No proven prevention. High-fiber diet may reduce risk.,Uncomplicated: 1-3 weeks post-surgery. Ruptured: 4-6 weeks.,"Sudden severe right lower abdominal pain, rigid abdomen, high fever, inability to pass gas, signs of shock (rapid pulse, dizziness).",No,NO — requires immediate medical evaluation. Do not take laxatives or pain medications before diagnosis.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","appendicitis, appendicitis"
Athletes Foot,Skin & Dermatology,Moderate,Dermatologist,Athletes Foot is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","athletes foot, athletes-foot"
Atrial Fibrillation,Cardiovascular,Critical,Cardiologist,Atrial Fibrillation is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","atrial fibrillation, atrial-fibrillation"
